step,train_error,val_error,test_error,gap,val_error_raw,test_error_raw,gap_raw,seed,K,m1,eta_mode
0,0.2890211880207062,0.2764656980832418,0.2759487981796265,-0.0005168999036153,0.5728698611259461,0.5712969799041748,-0.0015728812217712,100,300,1000,exp
10,0.2889157354831695,0.269650810956955,0.2691275653839111,-0.0005232455730438,0.5585898160934448,0.5573277835845947,-0.0012620325088501,100,300,1000,exp
100,0.3343286991119384,0.2324876636266708,0.2303893680572509,-0.0020982955694198,0.4794370651245117,0.4748541526794433,-0.0045829124450683,100,300,1000,exp
150,0.4418467760086059,0.2299174904823303,0.227357325553894,-0.0025601649284362,0.4737511952718099,0.4689319953918457,-0.0048191998799642,100,300,1000,exp
200,0.5955846190452576,0.207192995150884,0.2032897777557373,-0.0039032173951466,0.4250976045926412,0.418937068939209,-0.0061605356534321,100,300,1000,exp
250,0.7899418115615845,0.1669176548719406,0.1633879742622375,-0.003529680609703,0.3426659146944681,0.3361532278060913,-0.0065126868883768,100,300,1000,exp
300,0.9663703918457032,0.1329947630564371,0.1301403203010559,-0.0028544427553812,0.273685210943222,0.267505443572998,-0.006179767370224,100,300,1000,exp
10,1.0017585754394531,0.1294996236761411,0.1260351915359497,-0.0034644321401913,0.2663059333960215,0.2591520862579345,-0.0071538471380869,100,300,1000,exp
100,1.2097489833831787,0.0977311496933301,0.0956564140319824,-0.0020747356613477,0.2046280165513356,0.1969059705734253,-0.0077220459779103,100,300,1000,exp
150,1.275447130203247,0.0910888110597928,0.0885930738449096,-0.0024957372148831,0.1873398532470067,0.1827185468673706,-0.0046213063796361,100,300,1000,exp
200,1.320999264717102,0.0863795769711335,0.084389933347702,-0.0019896436234315,0.1806565309564272,0.1744649381637573,-0.0061915927926699,100,300,1000,exp
250,1.3662516117095946,0.0863955184817314,0.0834285445213317,-0.0029669739603996,0.1800802181164423,0.1730188221931457,-0.0070613959232966,100,300,1000,exp
300,1.3796781539916991,0.0878385330239931,0.0844438345432281,-0.003394698480765,0.1834554056326548,0.1757847805023193,-0.0076706251303355,100,300,1000,exp
10,1.380131196975708,0.0875372568766276,0.0856137380599975,-0.00192351881663,0.1852862417697906,0.1784177627563476,-0.0068684790134429,100,300,1000,exp
100,1.38977530002594,0.0940287381410598,0.0912247023582458,-0.002804035782814,0.1971288204193115,0.1917242565155029,-0.0054045639038085,100,300,1000,exp
150,1.386139440536499,0.0994728269676367,0.0961837892532348,-0.0032890377144018,0.2087882190942764,0.2033052654266357,-0.0054829536676406,100,300,1000,exp
200,1.37172532081604,0.1079056213299433,0.1026523623466491,-0.0052532589832941,0.2296461343765258,0.2184079799652099,-0.0112381544113158,100,300,1000,exp
250,1.3606539726257325,0.1150737623373667,0.1106567463874816,-0.004417015949885,0.2473462412754694,0.2372159576416015,-0.0101302836338679,100,300,1000,exp
300,1.359547209739685,0.1180256595214208,0.1195609912872314,0.0015353317658106,0.2630561351776123,0.2584309406280518,-0.0046251945495605,100,300,1000,exp
10,1.3449269533157349,0.1246492013335228,0.12162060546875,-0.0030285958647727,0.2667096575101216,0.2633597555160522,-0.0033499019940694,100,300,1000,exp
100,1.3235926389694217,0.1414423465728759,0.1399377732276916,-0.0015045733451843,0.3173872828483581,0.3081762790679931,-0.0092110037803649,100,300,1000,exp
150,1.3209798812866211,0.1484923745195071,0.1475220251083374,-0.0009703494111696,0.3384154826402664,0.3278055782318115,-0.0106099044084549,100,300,1000,exp
200,1.3287794589996338,0.163607952495416,0.1568143582344055,-0.0067935942610105,0.3674337804317474,0.3519319715499878,-0.0155018088817596,100,300,1000,exp
250,1.332574152946472,0.1692493001619975,0.1657821989059448,-0.0034671012560526,0.3910727858543396,0.3758070154190063,-0.0152657704353332,100,300,1000,exp
300,1.314605212211609,0.1746116240819295,0.1739683146476745,-0.0006433094342549,0.4077576994895935,0.3982794675827026,-0.0094782319068908,100,300,1000,exp
10,1.3292554140090942,0.1818491364518801,0.1778455290794372,-0.0040036073724428,0.4158658375342687,0.408310338973999,-0.0075554985602696,100,300,1000,exp
100,1.3531344652175905,0.1902810275554657,0.1909754095077514,0.0006943819522857,0.4595913231372833,0.4461331672668457,-0.0134581558704376,100,300,1000,exp
150,1.3720691204071045,0.1973989913860956,0.1966490392684936,-0.000749952117602,0.4634993652502696,0.4635223407745361,2.2975524266555247e-05,100,300,1000,exp
200,1.3802568435668945,0.2004906018575032,0.2011457996368408,0.0006551977793375,0.4885534803072611,0.4781355266571045,-0.0104179536501566,100,300,1000,exp
250,1.3992293357849122,0.2096862574418385,0.2073388347625732,-0.0023474226792653,0.5068411509195964,0.4972334156036377,-0.0096077353159586,100,300,1000,exp
300,1.4087732553482055,0.2137500762939453,0.2125647611618042,-0.0011853151321411,0.5248181025187174,0.5140604858398438,-0.0107576166788736,100,300,1000,exp
0,0.2946533143520355,0.2901346107323964,0.2909780378341675,0.000843427101771,0.6622623523076375,0.6643714504241943,0.0021090981165567,101,300,1000,exp
