step,train_error,val_error,test_error,gap,val_error_raw,test_error_raw,gap_raw,seed,K,m1,eta_mode
0,0.2946533143520355,0.29013461073239644,0.2909780378341675,0.0008434271017710437,0.6622623523076375,0.6643714504241943,0.0021090981165567957,101,300,1000,exp
10,0.29255967140197753,0.28574041922887167,0.2866355838775635,0.0008951646486918263,0.6511095801989237,0.6537945747375489,0.0026849945386251406,101,300,1000,exp
100,0.2812842130661011,0.2502220869064331,0.25258119297027587,0.002359106063842764,0.5607236425081888,0.5657985210418701,0.005074878533681271,101,300,1000,exp
150,0.2838223874568939,0.23516991039117177,0.23799370956420898,0.0028237991730372114,0.522150194644928,0.5295029850006103,0.00735279035568237,101,300,1000,exp
200,0.2888426184654236,0.2226288765668869,0.2263149003982544,0.0036860238313674853,0.4919382949670156,0.501260705947876,0.009322410980860396,101,300,1000,exp
250,0.3077704131603241,0.21570505400498707,0.21992636680603028,0.004221312801043209,0.47805046240488686,0.4869310073852539,0.008880544980367056,101,300,1000,exp
300,0.3438941240310669,0.2151212513446808,0.2211145839691162,0.00599333262443541,0.4772132853666941,0.49285459518432617,0.015641309817632065,101,300,1000,exp
10,0.3575992524623871,0.2168944776058197,0.2227570400238037,0.005862562417983996,0.4815552314122518,0.4981496810913086,0.016594449679056766,101,300,1000,exp
100,0.5069313228130341,0.21473252773284912,0.22377837371826173,0.00904584598541261,0.49676011204719545,0.517429630279541,0.020669518232345585,101,300,1000,exp
150,0.5930945396423339,0.18972025016943614,0.2020563440322876,0.01233609386285145,0.4475655893484751,0.47545351791381835,0.027887928565343223,101,300,1000,exp
200,0.6616362571716309,0.16997243960698447,0.1830165252685547,0.013044085661570226,0.4154183546702067,0.44067408180236817,0.025255727132161454,101,300,1000,exp
250,0.7019353985786438,0.15395051737626395,0.1652319188117981,0.01128140143553416,0.37847618261973065,0.4063462905883789,0.02787010796864825,101,300,1000,exp
300,0.7261865496635437,0.14027206202348072,0.15143672323226928,0.011164661208788562,0.34238303899765016,0.37947780418396,0.03709476518630983,101,300,1000,exp
10,0.7289260506629944,0.1396885390082995,0.14969613933563233,0.010007600327332833,0.34860194722811383,0.37671153926849366,0.028109592040379827,101,300,1000,exp
100,0.7374285936355591,0.12463910828034083,0.136309606552124,0.01167049827178318,0.3247047354777654,0.35371511173248293,0.02901037625471753,101,300,1000,exp
150,0.7358983635902405,0.12215553422768911,0.13186613321304322,0.009710598985354105,0.32284719149271646,0.3474402732849121,0.02459308179219566,101,300,1000,exp
200,0.7324505805969238,0.1163979267080625,0.12826182746887207,0.011863900760809579,0.3177878866593043,0.34261121940612793,0.024823332746823634,101,300,1000,exp
250,0.7279115080833435,0.11669250726699829,0.12640499877929687,0.009712491512298582,0.31558940013249714,0.3425097360610962,0.02692033592859905,101,300,1000,exp
300,0.7244374036788941,0.11533597757418951,0.12556300592422484,0.010227028350035333,0.322167377670606,0.3452234954833984,0.02305611781279243,101,300,1000,exp
10,0.7227947354316712,0.11456439197063446,0.12480546998977661,0.010241078019142147,0.3239705244700114,0.3437434530258179,0.01977292855580648,101,300,1000,exp
100,0.7160929560661315,0.11426570415496826,0.12420762205123902,0.00994191789627076,0.32867875198523205,0.3505504484176636,0.02187169643243153,101,300,1000,exp
150,0.7144338130950928,0.11358302483956019,0.12528741264343263,0.011704387803872437,0.33384582499663035,0.3589847936630249,0.025138968666394534,101,300,1000,exp
200,0.7097256064414978,0.11485837598641714,0.12633486986160278,0.011476493875185637,0.3437712679306666,0.3673230991363525,0.023551831205685936,101,300,1000,exp
250,0.7060393452644348,0.11837700605392457,0.1275543384552002,0.009177332401275634,0.36265781919161477,0.37638283348083496,0.013725014289220183,101,300,1000,exp
300,0.7069794774055481,0.11590664039055507,0.12907206916809083,0.013165428777535765,0.36275707284609476,0.38669446563720705,0.02393739279111229,101,300,1000,exp
10,0.7077044010162353,0.1191728244225184,0.128955904006958,0.009783079584439594,0.36743726034959157,0.38717873001098635,0.019741469661394784,101,300,1000,exp
100,0.7056609392166138,0.12244377980629603,0.13289187574386596,0.010448095937569929,0.38400679727395376,0.4110048723220825,0.026998075048128733,101,300,1000,exp
150,0.7023849487304688,0.12483866711457571,0.13501255178451538,0.010173884669939667,0.4025948286056519,0.424506516456604,0.0219116878509521,101,300,1000,exp
200,0.7018291354179382,0.12650664995114008,0.13757440042495728,0.011067750473817195,0.4042812446753184,0.4401888551712036,0.0359076104958852,101,300,1000,exp
250,0.7002971172332764,0.12826334883769352,0.13965426921844482,0.01139092038075129,0.42578869859377544,0.45438780879974366,0.028599110205968226,101,300,1000,exp
300,0.7022799253463745,0.13091064393520355,0.1423214955329895,0.01141085159778596,0.43891872068246207,0.471630184173584,0.03271146349112192,101,300,1000,exp
