step,train_error,val_error,test_error,gap,val_error_raw,test_error_raw,gap_raw,seed,K,m1,eta_mode,eta_name
0,0.2890211880207062,0.27173975110054016,0.27247419357299807,0.000734442472457908,0.567756175994873,0.5638243484497071,-0.003931827545165967,100,1,100,fixed,Fixed
30,0.32729317545890807,0.22306957840919495,0.21695724487304688,-0.006112333536148068,0.46770188212394714,0.4582557678222656,-0.009446114301681519,100,1,100,fixed,Fixed
60,0.539219319820404,0.18267309665679932,0.18022817611694336,-0.002444920539855955,0.39817601442337036,0.38677446365356444,-0.011401550769805924,100,1,100,fixed,Fixed
90,0.8090744972229004,0.11335384845733643,0.11190255165100098,-0.0014512968063354476,0.25780928134918213,0.24091945648193358,-0.01688982486724855,100,1,100,fixed,Fixed
120,0.9446121335029602,0.08024737238883972,0.07698715448379517,-0.003260217905044549,0.166045680642128,0.16651929378509522,0.000473613142967233,100,1,100,fixed,Fixed
150,0.9989513635635376,0.07206850498914719,0.06472522974014282,-0.007343275249004369,0.15645000338554382,0.1411950969696045,-0.015254906415939323,100,1,100,fixed,Fixed
180,1.0144494295120239,0.05791935324668884,0.05940763950347901,0.001488286256790164,0.14704680442810059,0.13084326267242433,-0.01620354175567626,100,1,100,fixed,Fixed
210,1.0118304014205932,0.054555200040340424,0.05879476070404053,0.004239560663700105,0.14547963440418243,0.13106028079986573,-0.014419353604316704,100,1,100,fixed,Fixed
240,0.9991031050682068,0.07044091075658798,0.0626854944229126,-0.00775541633367538,0.15158356726169586,0.14223536014556884,-0.009348207116127022,100,1,100,fixed,Fixed
270,0.976207971572876,0.05984410643577576,0.0665936279296875,0.006749521493911739,0.16368155181407928,0.15418576717376709,-0.0094957846403122,100,1,100,fixed,Fixed
300,0.9460011482238769,0.07433514297008514,0.07423738479614257,-9.775817394257202e-05,0.16600987315177917,0.17706822395324706,0.011058350801467887,100,1,100,fixed,Fixed
330,0.9067454695701599,0.09625348448753357,0.08351758718490601,-0.012735897302627558,0.1809311807155609,0.20752453804016113,0.02659335732460022,100,1,100,fixed,Fixed
360,0.8627147078514099,0.09897837787866592,0.08889832735061645,-0.010080050528049472,0.21874743700027466,0.23110742568969728,0.012359988689422619,100,1,100,fixed,Fixed
390,0.8046470046043396,0.06342945247888565,0.09445452451705932,0.031025072038173673,0.20208990573883057,0.2608341121673584,0.058744206428527845,100,1,100,fixed,Fixed
420,0.7377114772796631,0.09090875089168549,0.09794975519180298,0.00704100430011749,0.29785972833633423,0.2914318752288818,-0.006427853107452419,100,1,100,fixed,Fixed
450,0.6655698537826538,0.10282953083515167,0.09871516227722169,-0.004114368557929987,0.28054940700531006,0.319990816116333,0.03944140911102295,100,1,100,fixed,Fixed
480,0.58145112991333,0.09569499641656876,0.09446331739425659,-0.0012316790223121654,0.3726956248283386,0.3362247848510742,-0.03647083997726441,100,1,100,fixed,Fixed
